date,store_id,item_id,sales,promotion,holiday
2023-04-22,1,A,36,0,0
2023-04-23,1,A,56,1,0
2023-04-24,1,A,17,0,0
2023-04-25,1,A,40,1,0
2023-04-26,1,A,25,0,0
2023-04-27,1,A,16,0,0
2023-04-28,1,A,26,0,0
2023-04-29,1,A,57,1,0
2023-04-30,1,A,30,0,0
2023-05-01,1,A,22,0,0
2023-05-02,1,A,35,1,0
2023-05-03,1,A,30,0,0
2023-05-04,1,A,36,0,0
2023-05-05,1,A,31,0,0
2023-05-06,1,A,28,0,0
2023-05-07,1,A,30,0,0
2023-05-08,1,A,30,0,0
2023-05-09,1,A,28,0,0
2023-05-10,1,A,25,0,0
2023-05-11,1,A,23,0,0
2023-05-12,1,A,39,1,0
2023-05-13,1,A,52,1,0
2023-05-14,1,A,39,0,0
2023-05-15,1,A,17,0,0
2023-05-16,1,A,44,1,0
2023-05-17,1,A,27,0,0
2023-05-18,1,A,44,1,0
2023-05-19,1,A,36,0,0
2023-05-20,1,A,32,0,0
2023-05-21,1,A,35,0,0
2023-05-22,1,A,25,0,0
2023-05-23,1,A,24,0,0
2023-05-24,1,A,25,0,0
2023-05-25,1,A,26,0,0
2023-05-26,1,A,42,1,0
2023-05-27,1,A,34,0,0
2023-05-28,1,A,35,0,0
2023-05-29,1,A,43,1,0
2023-05-30,1,A,39,0,0
2023-05-31,1,A,22,0,0
2023-06-01,1,A,29,0,0
2023-06-02,1,A,31,0,0
2023-06-03,1,A,39,0,0
2023-06-04,1,A,34,0,0
2023-06-05,1,A,43,1,0
2023-06-06,1,A,42,1,0
2023-06-07,1,A,32,0,0
2023-06-08,1,A,31,0,0
2023-06-09,1,A,43,1,0
2023-06-10,1,A,61,1,0
2023-06-11,1,A,39,0,0
2023-06-12,1,A,29,0,0
2023-06-13,1,A,41,1,0
2023-06-14,1,A,30,0,0
2023-06-15,1,A,33,0,0
2023-06-16,1,A,25,0,0
2023-06-17,1,A,30,0,0
2023-06-18,1,A,43,0,0
2023-06-19,1,A,21,0,0
2023-06-20,1,A,22,0,0
2023-06-21,1,A,24,0,0
2023-06-22,1,A,31,0,0
2023-06-23,1,A,27,0,0
2023-06-24,1,A,37,0,0
2023-06-25,1,A,39,0,0
2023-06-26,1,A,36,0,0
2023-06-27,1,A,31,0,0
2023-06-28,1,A,33,0,0
2023-06-29,1,A,29,0,0
2023-06-30,1,A,34,0,0
2023-07-01,1,A,41,0,0
2023-07-02,1,A,35,0,0
2023-07-03,1,A,44,0,0
2023-07-04,1,A,30,0,0
2023-07-05,1,A,28,0,0
2023-07-06,1,A,24,0,0
2023-07-07,1,A,28,0,0
2023-07-08,1,A,30,0,0
2023-07-09,1,A,57,1,0
2023-07-10,1,A,37,0,0
2023-07-11,1,A,45,1,0
2023-07-12,1,A,29,0,0
2023-07-13,1,A,43,1,0
2023-07-14,1,A,26,0,0
2023-07-15,1,A,49,1,0
2023-07-16,1,A,29,0,0
2023-07-17,1,A,29,0,0
2023-07-18,1,A,41,1,0
2023-07-19,1,A,45,1,0
2023-07-20,1,A,35,0,0
2023-07-21,1,A,24,0,0
2023-07-22,1,A,32,0,0
2023-07-23,1,A,41,0,0
2023-07-24,1,A,26,0,0
2023-07-25,1,A,21,0,0
2023-07-26,1,A,32,0,0
2023-07-27,1,A,31,0,0
2023-07-28,1,A,26,0,0
2023-07-29,1,A,30,0,0
2023-07-30,1,A,24,0,0
2023-07-31,1,A,49,1,0
2023-08-01,1,A,34,1,0
2023-08-02,1,A,32,0,0
2023-08-03,1,A,42,1,0
2023-08-04,1,A,30,0,0
2023-08-05,1,A,35,0,0
2023-08-06,1,A,35,0,0
2023-08-07,1,A,39,1,0
2023-08-08,1,A,36,0,0
2023-08-09,1,A,39,1,0
2023-08-10,1,A,27,0,0
2023-08-11,1,A,23,0,0
2023-08-12,1,A,45,0,0
2023-08-13,1,A,31,0,0
2023-08-14,1,A,25,0,0
2023-08-15,1,A,26,0,0
2023-08-16,1,A,21,0,0
2023-08-17,1,A,28,0,0
2023-08-18,1,A,32,0,0
2023-08-19,1,A,50,1,0
2023-08-20,1,A,39,0,0
2023-08-21,1,A,31,0,0
2023-08-22,1,A,29,0,0
2023-08-23,1,A,35,0,0
2023-08-24,1,A,27,0,0
2023-08-25,1,A,31,0,0
2023-08-26,1,A,47,0,0
2023-08-27,1,A,65,1,0
2023-08-28,1,A,32,0,0
2023-08-29,1,A,25,0,0
2023-08-30,1,A,26,0,0
2023-08-31,1,A,31,0,0
2023-09-01,1,A,28,0,0
2023-09-02,1,A,20,0,0
2023-09-03,1,A,56,1,0
2023-09-04,1,A,26,0,0
2023-09-05,1,A,42,0,0
2023-09-06,1,A,35,0,0
2023-09-07,1,A,46,1,0
2023-09-08,1,A,29,0,0
2023-09-09,1,A,39,0,0
2023-09-10,1,A,39,0,0
2023-09-11,1,A,27,0,0
2023-09-12,1,A,28,0,0
2023-09-13,1,A,32,0,0
2023-09-14,1,A,28,0,0
2023-09-15,1,A,51,1,0
2023-09-16,1,A,30,0,0
2023-09-17,1,A,44,0,0
2023-09-18,1,A,32,0,0
2023-09-19,1,A,19,0,0
2023-09-20,1,A,37,0,0
2023-09-21,1,A,25,0,0
2023-09-22,1,A,34,0,0
2023-09-23,1,A,37,0,0
2023-09-24,1,A,51,1,0
2023-09-25,1,A,47,1,0
2023-09-26,1,A,28,0,0
2023-09-27,1,A,29,0,0
2023-09-28,1,A,33,0,0
2023-09-29,1,A,28,0,0
2023-09-30,1,A,35,0,0
2023-10-01,1,A,37,0,0
2023-10-02,1,A,23,0,0
2023-10-03,1,A,30,0,0
2023-10-04,1,A,30,0,0
2023-10-05,1,A,30,0,0
2023-10-06,1,A,48,1,0
2023-10-07,1,A,35,0,0
2023-10-08,1,A,41,0,0
2023-10-09,1,A,41,1,0
2023-10-10,1,A,24,0,0
2023-10-11,1,A,21,0,0
2023-10-12,1,A,31,0,0
2023-10-13,1,A,38,1,0
2023-10-14,1,A,31,0,0
2023-10-15,1,A,40,0,0
2023-10-16,1,A,36,0,0
2023-10-17,1,A,23,0,0
2023-10-18,1,A,32,0,0
2023-10-19,1,A,38,0,0
2023-10-20,1,A,22,0,0
2023-10-21,1,A,53,1,0
2023-10-22,1,A,39,0,0
2023-10-23,1,A,22,0,0
2023-10-24,1,A,44,1,0
2023-10-25,1,A,33,1,0
2023-10-26,1,A,34,0,0
2023-10-27,1,A,30,0,0
2023-10-28,1,A,68,1,0
2023-10-29,1,A,58,1,0
2023-10-30,1,A,21,0,0
2023-10-31,1,A,58,1,0
2023-11-01,1,A,33,0,0
2023-11-02,1,A,26,0,0
2023-11-03,1,A,29,0,0
2023-11-04,1,A,40,0,0
2023-11-05,1,A,63,1,0
2023-11-06,1,A,21,0,0
2023-11-07,1,A,40,0,0
2023-11-08,1,A,40,0,0
2023-11-09,1,A,42,0,0
2023-11-10,1,A,27,0,0
2023-11-11,1,A,41,0,0
2023-11-12,1,A,42,0,0
2023-11-13,1,A,49,1,0
2023-11-14,1,A,29,0,0
2023-11-15,1,A,33,0,0
2023-11-16,1,A,33,0,0
2023-11-17,1,A,28,0,0
2023-11-18,1,A,42,0,0
2023-11-19,1,A,38,0,0
2023-11-20,1,A,33,0,0
2023-11-21,1,A,39,0,0
2023-11-22,1,A,43,1,0
2023-11-23,1,A,19,0,0
2023-11-24,1,A,38,0,0
2023-11-25,1,A,43,0,0
2023-11-26,1,A,28,0,0
2023-11-27,1,A,19,0,0
2023-11-28,1,A,37,0,0
2023-11-29,1,A,26,0,0
2023-11-30,1,A,48,1,0
2023-12-01,1,A,33,0,0
2023-12-02,1,A,67,1,0
2023-12-03,1,A,44,0,0
2023-12-04,1,A,34,0,0
2023-12-05,1,A,30,0,0
2023-12-06,1,A,40,0,0
2023-12-07,1,A,19,0,0
2023-12-08,1,A,34,0,0
2023-12-09,1,A,56,0,0
2023-12-10,1,A,41,0,0
2023-12-11,1,A,37,0,0
2023-12-12,1,A,40,0,0
2023-12-13,1,A,25,0,0
2023-12-14,1,A,27,0,0
2023-12-15,1,A,34,0,0
2023-12-16,1,A,41,0,0
2023-12-17,1,A,44,0,0
2023-12-18,1,A,26,0,0
2023-12-19,1,A,28,0,0
2023-12-20,1,A,37,0,0
2023-12-21,1,A,27,0,0
2023-12-22,1,A,28,0,0
2023-12-23,1,A,54,1,0
2023-12-24,1,A,34,0,0
2023-12-25,1,A,69,0,1
2023-12-26,1,A,27,0,0
2023-12-27,1,A,26,0,0
2023-12-28,1,A,32,0,0
2023-12-29,1,A,46,1,0
2023-12-30,1,A,44,0,0
2023-12-31,1,A,58,1,0
2023-01-01,1,B,120,0,1
2023-01-02,1,B,32,0,0
2023-01-03,1,B,68,1,0
2023-01-04,1,B,55,0,0
2023-01-05,1,B,51,0,0
2023-01-06,1,B,44,0,0
2023-01-07,1,B,54,0,0
2023-01-08,1,B,102,1,0
2023-01-09,1,B,46,0,0
2023-01-10,1,B,47,0,0
2023-01-11,1,B,45,0,0
2023-01-12,1,B,46,0,0
2023-01-13,1,B,43,0,0
2023-01-14,1,B,58,0,0
2023-01-15,1,B,67,0,0
2023-01-16,1,B,52,0,0
2023-01-17,1,B,36,0,0
2023-01-18,1,B,39,0,0
2023-01-19,1,B,42,0,0
2023-01-20,1,B,51,0,0
2023-01-21,1,B,66,0,0
2023-01-22,1,B,64,0,0
2023-01-23,1,B,40,0,0
2023-01-24,1,B,43,0,0
2023-01-25,1,B,49,0,0
2023-01-26,1,B,45,0,0
2023-01-27,1,B,44,0,0
2023-01-28,1,B,89,1,0
2023-01-29,1,B,66,0,0
2023-01-30,1,B,49,0,0
2023-01-31,1,B,45,0,0
2023-02-01,1,B,48,0,0
2023-02-02,1,B,40,0,0
2023-02-03,1,B,67,1,0
2023-02-04,1,B,66,0,0
2023-02-05,1,B,53,0,0
2023-02-06,1,B,49,0,0
2023-02-07,1,B,36,0,0
2023-02-08,1,B,55,0,0
2023-02-09,1,B,67,1,0
2023-02-10,1,B,72,1,0
2023-02-11,1,B,61,0,0
2023-02-12,1,B,61,0,0
2023-02-13,1,B,48,0,0
2023-02-14,1,B,38,0,0
2023-02-15,1,B,48,0,0
2023-02-16,1,B,69,1,0
2023-02-17,1,B,44,0,0
2023-02-18,1,B,57,0,0
2023-02-19,1,B,93,1,0
2023-02-20,1,B,42,0,0
2023-02-21,1,B,52,0,0
2023-02-22,1,B,49,0,0
2023-02-23,1,B,48,0,0
2023-02-24,1,B,52,0,0
2023-02-25,1,B,52,0,0
2023-02-26,1,B,55,0,0
2023-02-27,1,B,50,0,0
2023-02-28,1,B,43,0,0
2023-03-01,1,B,44,0,0
2023-03-02,1,B,40,0,0
2023-03-03,1,B,42,0,0
2023-03-04,1,B,67,0,0
2023-03-05,1,B,64,0,0
2023-03-06,1,B,48,0,0
2023-03-07,1,B,44,0,0
2023-03-08,1,B,48,0,0
2023-03-09,1,B,53,0,0
2023-03-10,1,B,44,0,0
2023-03-11,1,B,61,0,0
2023-03-12,1,B,70,0,0
2023-03-13,1,B,51,0,0
2023-03-14,1,B,45,0,0
2023-03-15,1,B,50,0,0
2023-03-16,1,B,40,0,0
2023-03-17,1,B,47,0,0
2023-03-18,1,B,65,0,0
2023-03-19,1,B,64,0,0
2023-03-20,1,B,75,1,0
2023-03-21,1,B,52,0,0
2023-03-22,1,B,50,0,0
2023-03-23,1,B,50,0,0
2023-03-24,1,B,49,0,0
2023-03-25,1,B,57,0,0
2023-03-26,1,B,99,1,0
2023-03-27,1,B,72,1,0
2023-03-28,1,B,75,1,0
2023-03-29,1,B,77,1,0
2023-03-30,1,B,45,0,0
2023-03-31,1,B,46,0,0
2023-04-01,1,B,61,0,0
2023-04-02,1,B,69,0,0
2023-04-03,1,B,43,0,0
2023-04-04,1,B,55,0,0
2023-04-05,1,B,49,0,0
2023-04-06,1,B,49,0,0
2023-04-07,1,B,52,0,0
2023-04-08,1,B,63,0,0
2023-04-09,1,B,99,1,0
2023-04-10,1,B,45,0,0
2023-04-11,1,B,55,0,0
2023-04-12,1,B,46,0,0
2023-04-13,1,B,55,0,0
2023-04-14,1,B,46,0,0
2023-04-15,1,B,61,0,0
2023-04-16,1,B,58,0,0
2023-04-17,1,B,44,0,0
2023-04-18,1,B,48,0,0
2023-04-19,1,B,49,0,0
2023-04-20,1,B,53,0,0
2023-04-21,1,B,72,1,0
2023-04-22,1,B,57,0,0
2023-04-23,1,B,97,1,0
2023-04-24,1,B,49,0,0
2023-04-25,1,B,51,0,0
2023-04-26,1,B,45,0,0
2023-04-27,1,B,46,0,0
2023-04-28,1,B,45,0,0
2023-04-29,1,B,69,0,0
2023-04-30,1,B,102,1,0
2023-05-01,1,B,46,0,0
2023-05-02,1,B,46,0,0
2023-05-03,1,B,52,0,0
2023-05-04,1,B,56,0,0
2023-05-05,1,B,58,0,0
2023-05-06,1,B,92,1,0
2023-05-07,1,B,94,1,0
2023-05-08,1,B,75,1,0
2023-05-09,1,B,50,0,0
2023-05-10,1,B,48,0,0
2023-05-11,1,B,45,0,0
2023-05-12,1,B,49,0,0
2023-05-13,1,B,73,0,0
2023-05-14,1,B,61,0,0
2023-05-15,1,B,75,1,0
2023-05-16,1,B,62,0,0
2023-05-17,1,B,71,1,0
2023-05-18,1,B,52,0,0
2023-05-19,1,B,58,0,0
2023-05-20,1,B,99,1,0
2023-05-21,1,B,102,1,0
2023-05-22,1,B,78,1,0
2023-05-23,1,B,52,0,0
2023-05-24,1,B,56,0,0
2023-05-25,1,B,52,0,0
2023-05-26,1,B,73,1,0
2023-05-27,1,B,65,0,0
2023-05-28,1,B,66,0,0
2023-05-29,1,B,72,1,0
2023-05-30,1,B,50,0,0
2023-05-31,1,B,50,0,0
2023-06-01,1,B,53,0,0
2023-06-02,1,B,60,0,0
2023-06-03,1,B,66,0,0
2023-06-04,1,B,105,1,0
2023-06-05,1,B,52,0,0
2023-06-06,1,B,50,0,0
2023-06-07,1,B,72,1,0
2023-06-08,1,B,50,0,0
2023-06-09,1,B,50,0,0
2023-06-10,1,B,61,0,0
2023-06-11,1,B,62,0,0
2023-06-12,1,B,51,0,0
2023-06-13,1,B,57,0,0
2023-06-14,1,B,49,0,0
2023-06-15,1,B,42,0,0
2023-06-16,1,B,39,0,0
2023-06-17,1,B,60,0,0
2023-06-18,1,B,68,0,0
2023-06-19,1,B,43,0,0
2023-06-20,1,B,79,1,0
2023-06-21,1,B,53,0,0
2023-06-22,1,B,49,0,0
2023-06-23,1,B,42,0,0
2023-06-24,1,B,94,1,0
2023-06-25,1,B,64,0,0
2023-06-26,1,B,52,0,0
2023-06-27,1,B,44,0,0
2023-06-28,1,B,82,1,0
2023-06-29,1,B,52,0,0
2023-06-30,1,B,52,0,0
2023-07-01,1,B,101,1,0
2023-07-02,1,B,72,0,0
2023-07-03,1,B,51,0,0
2023-07-04,1,B,54,0,0
2023-07-05,1,B,47,0,0
2023-07-06,1,B,59,0,0
2023-07-07,1,B,51,0,0
2023-07-08,1,B,62,0,0
2023-07-09,1,B,63,0,0
2023-07-10,1,B,41,0,0
2023-07-11,1,B,48,0,0
2023-07-12,1,B,38,0,0
2023-07-13,1,B,54,0,0
2023-07-14,1,B,53,0,0
2023-07-15,1,B,61,0,0
2023-07-16,1,B,66,0,0
2023-07-17,1,B,76,1,0
2023-07-18,1,B,45,0,0
2023-07-19,1,B,49,0,0
2023-07-20,1,B,51,0,0
2023-07-21,1,B,49,0,0
2023-07-22,1,B,63,0,0
2023-07-23,1,B,61,0,0
2023-07-24,1,B,49,0,0
2023-07-25,1,B,48,0,0
2023-07-26,1,B,54,0,0
2023-07-27,1,B,58,0,0
2023-07-28,1,B,55,0,0
2023-07-29,1,B,100,1,0
2023-07-30,1,B,63,0,0
2023-07-31,1,B,81,1,0
2023-08-01,1,B,54,0,0
2023-08-02,1,B,83,1,0
2023-08-03,1,B,52,0,0
2023-08-04,1,B,60,0,0
2023-08-05,1,B,67,0,0
2023-08-06,1,B,63,0,0
2023-08-07,1,B,74,1,0
2023-08-08,1,B,54,0,0
2023-08-09,1,B,48,0,0
2023-08-10,1,B,60,0,0
2023-08-11,1,B,53,0,0
2023-08-12,1,B,100,1,0
2023-08-13,1,B,67,0,0
2023-08-14,1,B,50,0,0
2023-08-15,1,B,69,1,0
2023-08-16,1,B,49,0,0
2023-08-17,1,B,59,0,0
2023-08-18,1,B,52,0,0
2023-08-19,1,B,72,0,0
2023-08-20,1,B,72,0,0
2023-08-21,1,B,77,1,0
2023-08-22,1,B,55,0,0
2023-08-23,1,B,70,1,0
2023-08-24,1,B,59,0,0
2023-08-25,1,B,58,0,0
2023-08-26,1,B,70,0,0
2023-08-27,1,B,68,0,0
2023-08-28,1,B,51,0,0
2023-08-29,1,B,57,0,0
2023-08-30,1,B,82,1,0
2023-08-31,1,B,37,0,0
2023-09-01,1,B,50,0,0
2023-09-02,1,B,96,1,0
2023-09-03,1,B,61,0,0
2023-09-04,1,B,58,0,0
2023-09-05,1,B,52,0,0
2023-09-06,1,B,54,0,0
2023-09-07,1,B,52,0,0
2023-09-08,1,B,45,0,0
2023-09-09,1,B,94,1,0
2023-09-10,1,B,65,0,0
2023-09-11,1,B,50,0,0
2023-09-12,1,B,50,0,0
2023-09-13,1,B,50,0,0
2023-09-14,1,B,89,1,0
2023-09-15,1,B,83,1,0
2023-09-16,1,B,69,0,0
2023-09-17,1,B,67,0,0
2023-09-18,1,B,52,0,0
2023-09-19,1,B,82,1,0
2023-09-20,1,B,52,0,0
2023-09-21,1,B,57,0,0
2023-09-22,1,B,54,0,0
2023-09-23,1,B,78,0,0
2023-09-24,1,B,67,0,0
2023-09-25,1,B,58,0,0
2023-09-26,1,B,47,0,0
2023-09-27,1,B,49,0,0
2023-09-28,1,B,88,1,0
2023-09-29,1,B,57,0,0
2023-09-30,1,B,105,1,0
2023-10-01,1,B,80,0,0
2023-10-02,1,B,79,1,0
2023-10-03,1,B,58,0,0
2023-10-04,1,B,58,0,0
2023-10-05,1,B,61,0,0
2023-10-06,1,B,47,0,0
2023-10-07,1,B,68,0,0
2023-10-08,1,B,105,1,0
2023-10-09,1,B,61,0,0
2023-10-10,1,B,81,1,0
2023-10-11,1,B,59,0,0
2023-10-12,1,B,73,1,0
2023-10-13,1,B,51,0,0
2023-10-14,1,B,110,1,0
2023-10-15,1,B,68,0,0
2023-10-16,1,B,53,0,0
2023-10-17,1,B,61,0,0
2023-10-18,1,B,49,0,0
2023-10-19,1,B,50,0,0
2023-10-20,1,B,46,0,0
2023-10-21,1,B,77,0,0
2023-10-22,1,B,74,0,0
2023-10-23,1,B,58,0,0
2023-10-24,1,B,51,0,0
2023-10-25,1,B,46,0,0
2023-10-26,1,B,45,0,0
2023-10-27,1,B,60,0,0
2023-10-28,1,B,107,1,0
2023-10-29,1,B,73,0,0
2023-10-30,1,B,55,0,0
2023-10-31,1,B,76,1,0
2023-11-01,1,B,52,0,0
2023-11-02,1,B,48,0,0
2023-11-03,1,B,75,1,0
2023-11-04,1,B,74,0,0
2023-11-05,1,B,62,0,0
2023-11-06,1,B,48,0,0
2023-11-07,1,B,52,0,0
2023-11-08,1,B,54,0,0
2023-11-09,1,B,47,0,0
2023-11-10,1,B,45,0,0
2023-11-11,1,B,107,1,0
2023-11-12,1,B,71,0,0
2023-11-13,1,B,60,0,0
2023-11-14,1,B,54,0,0
2023-11-15,1,B,83,1,0
2023-11-16,1,B,77,1,0
2023-11-17,1,B,50,0,0
2023-11-18,1,B,64,0,0
2023-11-19,1,B,66,0,0
2023-11-20,1,B,52,0,0
2023-11-21,1,B,60,0,0
2023-11-22,1,B,50,0,0
2023-11-23,1,B,64,0,0
2023-11-24,1,B,57,0,0
2023-11-25,1,B,72,0,0
2023-11-26,1,B,70,0,0
2023-11-27,1,B,53,0,0
2023-11-28,1,B,51,0,0
2023-11-29,1,B,47,0,0
2023-11-30,1,B,50,0,0
2023-12-01,1,B,62,0,0
2023-12-02,1,B,73,0,0
2023-12-03,1,B,78,0,0
2023-12-04,1,B,51,0,0
2023-12-05,1,B,49,0,0
2023-12-06,1,B,54,0,0
2023-12-07,1,B,50,0,0
2023-12-08,1,B,83,1,0
2023-12-09,1,B,98,1,0
2023-12-10,1,B,61,0,0
2023-12-11,1,B,56,0,0
2023-12-12,1,B,63,0,0
2023-12-13,1,B,56,0,0
2023-12-14,1,B,57,0,0
2023-12-15,1,B,55,0,0
2023-12-16,1,B,72,0,0
2023-12-17,1,B,64,0,0
2023-12-18,1,B,51,0,0
2023-12-19,1,B,61,0,0
2023-12-20,1,B,49,0,0
2023-12-21,1,B,80,1,0
2023-12-22,1,B,88,1,0
2023-12-23,1,B,72,0,0
2023-12-24,1,B,72,0,0
2023-12-25,1,B,108,0,1
2023-12-26,1,B,86,1,0
2023-12-27,1,B,59,0,0
2023-12-28,1,B,51,0,0
2023-12-29,1,B,48,0,0
2023-12-30,1,B,98,1,0
2023-12-31,1,B,74,0,0
2023-01-01,1,C,165,1,1
2023-01-02,1,C,49,0,0
2023-01-03,1,C,29,0,0
2023-01-04,1,C,42,0,0
2023-01-05,1,C,43,0,0
2023-01-06,1,C,52,0,0
2023-01-07,1,C,57,0,0
2023-01-08,1,C,52,0,0
2023-01-09,1,C,40,0,0
2023-01-10,1,C,60,1,0
2023-01-11,1,C,42,0,0
2023-01-12,1,C,45,0,0
2023-01-13,1,C,37,0,0
2023-01-14,1,C,84,1,0
2023-01-15,1,C,84,1,0
2023-01-16,1,C,62,1,0
2023-01-17,1,C,42,0,0
2023-01-18,1,C,37,0,0
2023-01-19,1,C,43,0,0
2023-01-20,1,C,58,1,0
2023-01-21,1,C,86,1,0
2023-01-22,1,C,52,0,0
2023-01-23,1,C,34,0,0
2023-01-24,1,C,48,0,0
2023-01-25,1,C,39,0,0
2023-01-26,1,C,39,0,0
2023-01-27,1,C,35,0,0
2023-01-28,1,C,59,0,0
2023-01-29,1,C,51,0,0
2023-01-30,1,C,39,0,0
2023-01-31,1,C,36,0,0
2023-02-01,1,C,45,0,0
2023-02-02,1,C,45,0,0
2023-02-03,1,C,59,1,0
2023-02-04,1,C,53,0,0
2023-02-05,1,C,62,0,0
2023-02-06,1,C,33,0,0
2023-02-07,1,C,56,0,0
2023-02-08,1,C,41,0,0
2023-02-09,1,C,37,0,0
2023-02-10,1,C,37,0,0
2023-02-11,1,C,58,0,0
2023-02-12,1,C,57,0,0
2023-02-13,1,C,48,0,0
2023-02-14,1,C,42,0,0
2023-02-15,1,C,40,0,0
2023-02-16,1,C,34,0,0
2023-02-17,1,C,43,0,0
2023-02-18,1,C,54,0,0
2023-02-19,1,C,58,0,0
2023-02-20,1,C,69,1,0
2023-02-21,1,C,44,0,0
2023-02-22,1,C,67,1,0
2023-02-23,1,C,65,1,0
2023-02-24,1,C,44,0,0
2023-02-25,1,C,55,0,0
2023-02-26,1,C,56,0,0
2023-02-27,1,C,49,0,0
2023-02-28,1,C,45,0,0
2023-03-01,1,C,42,0,0
2023-03-02,1,C,62,1,0
2023-03-03,1,C,43,0,0
2023-03-04,1,C,61,0,0
2023-03-05,1,C,59,0,0
2023-03-06,1,C,31,0,0
2023-03-07,1,C,44,0,0
2023-03-08,1,C,62,1,0
2023-03-09,1,C,49,0,0
2023-03-10,1,C,39,0,0
2023-03-11,1,C,55,0,0
2023-03-12,1,C,81,1,0
2023-03-13,1,C,69,1,0
2023-03-14,1,C,42,0,0
2023-03-15,1,C,64,1,0
2023-03-16,1,C,42,0,0
2023-03-17,1,C,47,0,0
2023-03-18,1,C,56,0,0
2023-03-19,1,C,80,1,0
2023-03-20,1,C,38,0,0
2023-03-21,1,C,45,0,0
2023-03-22,1,C,39,0,0
2023-03-23,1,C,44,0,0
2023-03-24,1,C,38,0,0
2023-03-25,1,C,55,0,0
2023-03-26,1,C,85,1,0
2023-03-27,1,C,54,0,0
2023-03-28,1,C,59,1,0
2023-03-29,1,C,71,1,0
2023-03-30,1,C,54,0,0
2023-03-31,1,C,47,0,0
2023-04-01,1,C,87,1,0
